,method,n,m,timeGPU,checkGPU,timeCPU,checkCPU,speedup
404,0,5000,1500000,0.02893281,TRUE,2.651600361,TRUE,91.64683197
405,1,5000,1500000,0.084331504,TRUE,3.414258718,TRUE,40.48615946
406,2,5000,1500000,0.021145582,TRUE,3.832787514,TRUE,181.2571287
407,3,5000,1500000,0.029811859,TRUE,15.72239971,TRUE,527.387428
408,0,5000,1750000,0.03238225,TRUE,3.052811384,TRUE,94.27422122
409,1,5000,1750000,0.094018833,TRUE,3.731776714,TRUE,39.69179999
410,2,5000,1750000,0.023745298,TRUE,4.412055254,TRUE,185.8075305
411,3,5000,1750000,0.034889698,TRUE,18.84192491,TRUE,540.0426478
412,0,5000,1750000,0.032489061,TRUE,3.05318737,TRUE,93.97585658
413,1,5000,1750000,0.095146544,TRUE,3.776091814,TRUE,39.68711479
414,2,5000,1750000,0.024051428,TRUE,4.391376495,TRUE,182.5827774
415,3,5000,1750000,0.032835007,TRUE,15.54332352,TRUE,473.3765902
416,0,5000,2000000,0.035404682,TRUE,3.442784309,TRUE,97.24093254
417,1,5000,2000000,0.095079405,TRUE,4.083270311,TRUE,42.94589676
418,2,5000,2000000,0.025972128,TRUE,5.222815514,TRUE,201.0930922
419,3,5000,2000000,0.03749156,TRUE,17.97691393,TRUE,479.4922894
420,0,5000,2000000,0.034738302,TRUE,3.437832355,TRUE,98.96374131
421,1,5000,2000000,0.092576151,TRUE,3.953599453,TRUE,42.70645744
422,2,5000,2000000,0.026223421,TRUE,5.24682498,TRUE,200.0816354
423,3,5000,2000000,0.037196636,TRUE,17.97491097,TRUE,483.2402284
424,0,5000,2250000,0.038624048,TRUE,3.849539757,TRUE,99.66691564
425,1,5000,2250000,0.101529314,TRUE,4.404085875,TRUE,43.37748086
426,2,5000,2250000,0.028500795,TRUE,6.029147863,TRUE,211.5431442
427,3,5000,2250000,0.047394753,TRUE,20.07807183,TRUE,423.6349126
428,0,5000,2250000,0.038497925,TRUE,3.847991705,TRUE,99.95322409
429,1,5000,2250000,0.086154561,TRUE,4.483261824,TRUE,52.03742868
430,2,5000,2250000,0.028820992,TRUE,5.923748255,TRUE,205.5358939
431,3,5000,2250000,0.04216671,TRUE,20.32049894,TRUE,481.9085718
432,0,5000,2500000,0.041602135,TRUE,4.232487202,TRUE,101.7372602
433,1,5000,2500000,0.110016531,TRUE,4.864977121,TRUE,44.22041921
434,2,5000,2500000,0.031547308,TRUE,6.586164713,TRUE,208.7710533
435,3,5000,2500000,0.049834013,TRUE,22.25134873,TRUE,446.5092695
436,0,5000,2500000,0.041568279,TRUE,4.244440556,TRUE,102.10768
437,1,5000,2500000,0.110128118,TRUE,4.756378651,TRUE,43.18950271
438,2,5000,2500000,0.031806707,TRUE,6.689199209,TRUE,210.3078174
439,3,5000,2500000,0.046256065,TRUE,22.24166918,TRUE,480.8378966
440,0,5000,4000000,0.060527563,TRUE,6.633387327,TRUE,109.5928365
441,1,5000,4000000,0.136758497,TRUE,7.066836119,TRUE,51.6738358
442,2,5000,4000000,0.049527168,TRUE,10.05928373,TRUE,203.1063774
443,3,5000,4000000,0.076192141,TRUE,29.02104974,TRUE,380.8929572
444,0,5000,4000000,0.060813189,TRUE,6.578522682,TRUE,108.175921
445,1,5000,4000000,0.13780694,TRUE,6.908347607,TRUE,50.13062192
446,2,5000,4000000,0.049441338,TRUE,10.34006691,TRUE,209.13809
447,3,5000,4000000,0.066725969,TRUE,28.46364546,TRUE,426.5752263
