id,n,m,avgD,method,GPU_time_cost(s),dist:GPU(method)==singleCPU(dij)?,singleCPU_time_cost(s),dist:singleCPU(method)==singleCPU(dij)?,singleCPU_time_cost/GPU_time_cost
324,25600,51200,2,dij,0.0146,TRUE,0.6319,TRUE,43.28082192
325,25600,51200,2,spfa,0.0121,TRUE,0.5216,TRUE,43.10743802
326,25600,51200,2,delta,0.0219,TRUE,1.0978,TRUE,50.12785388
327,25600,51200,2,edge,0.0461,TRUE,1.2089,TRUE,26.22342733
328,25600,102400,4,dij,0.0228,TRUE,0.9065,TRUE,39.75877193
329,25600,102400,4,spfa,0.0164,TRUE,0.8013,TRUE,48.8597561
330,25600,102400,4,delta,0.0542,TRUE,1.3224,TRUE,24.39852399
331,25600,102400,4,edge,0.034,TRUE,2.6675,TRUE,78.45588235
332,25600,204800,8,dij,0.0231,TRUE,1.0824,TRUE,46.85714286
333,25600,204800,8,spfa,0.0236,TRUE,1.5764,TRUE,66.79661017
334,25600,204800,8,delta,0.0192,TRUE,1.6835,TRUE,87.68229167
335,25600,204800,8,edge,0.0222,TRUE,5.1217,TRUE,230.7072072
336,25600,409600,16,dij,0.1159,TRUE,1.5961,TRUE,13.77135462
337,25600,409600,16,spfa,0.0427,TRUE,2.1425,TRUE,50.17564403
338,25600,409600,16,delta,0.0217,TRUE,2.5546,TRUE,117.7235023
339,25600,409600,16,edge,0.0645,TRUE,9.6554,TRUE,149.696124
340,25600,819200,32,dij,0.0649,TRUE,2.3604,TRUE,36.36979969
341,25600,819200,32,spfa,0.0717,TRUE,3.462,TRUE,48.28451883
342,25600,819200,32,delta,0.0272,TRUE,3.8455,TRUE,141.3786765
343,25600,819200,32,edge,0.0563,TRUE,17.3408,TRUE,308.0071048
344,25600,1638400,64,dij,0.0815,TRUE,3.7765,TRUE,46.33742331
345,25600,1638400,64,spfa,0.1361,TRUE,6.5019,TRUE,47.77296106
346,25600,1638400,64,delta,0.037,TRUE,6.1812,TRUE,167.0594595
347,25600,1638400,64,edge,0.0782,TRUE,29.4183,TRUE,376.1930946
348,25600,3276800,128,dij,0.1023,TRUE,6.4585,TRUE,63.13294233
349,25600,3276800,128,spfa,0.2148,TRUE,10.6995,TRUE,49.81145251
350,25600,3276800,128,delta,0.0773,TRUE,10.3754,TRUE,134.2225097
351,25600,3276800,128,edge,0.1098,TRUE,52.1626,TRUE,475.0692168
352,25600,6553600,256,dij,0.2425,TRUE,11.6891,TRUE,48.20247423
353,25600,6553600,256,spfa,0.3382,TRUE,17.6383,TRUE,52.15345949
354,25600,6553600,256,delta,0.1007,TRUE,16.3901,TRUE,162.7616683
355,25600,6553600,256,edge,0.1572,TRUE,79.0059,TRUE,502.5820611
356,25600,13107200,512,dij,0.271,TRUE,22.0165,TRUE,81.24169742
357,25600,13107200,512,spfa,0.5134,TRUE,29.3485,TRUE,57.16497857
358,25600,13107200,512,delta,0.1945,TRUE,33.8481,TRUE,174.0262211
359,25600,13107200,512,edge,0.2752,TRUE,138.3465,TRUE,502.7125727
360,51200,51200,1,dij,0.0134,TRUE,0.8107,TRUE,60.5
361,51200,51200,1,spfa,0.0195,TRUE,0.3262,TRUE,16.72820513
362,51200,51200,1,delta,0.1285,TRUE,1.6787,TRUE,13.06381323
363,51200,51200,1,edge,0.0158,TRUE,1.0092,TRUE,63.87341772
364,51200,102400,2,dij,0.0617,TRUE,1.1522,TRUE,18.67423015
365,51200,102400,2,spfa,0.026,TRUE,0.8624,TRUE,33.16923077
366,51200,102400,2,delta,0.0438,TRUE,1.9814,TRUE,45.23744292
367,51200,102400,2,edge,0.0608,TRUE,2.8437,TRUE,46.77138158
368,51200,204800,4,dij,0.0275,TRUE,1.5479,TRUE,56.28727273
369,51200,204800,4,spfa,0.0378,TRUE,1.6692,TRUE,44.15873016
370,51200,204800,4,delta,0.1104,TRUE,2.6969,TRUE,24.42844203
371,51200,204800,4,edge,0.0203,TRUE,5.1595,TRUE,254.1625616
372,51200,409600,8,dij,0.0308,TRUE,2.2098,TRUE,71.74675325
373,51200,409600,8,spfa,0.0595,TRUE,2.4351,TRUE,40.92605042
374,51200,409600,8,delta,0.0277,TRUE,4.0557,TRUE,146.4151625
375,51200,409600,8,edge,0.0303,TRUE,10.4282,TRUE,344.1650165
376,51200,819200,16,dij,0.1234,TRUE,3.1888,TRUE,25.84116694
377,51200,819200,16,spfa,0.0922,TRUE,4.3825,TRUE,47.53253796
378,51200,819200,16,delta,0.0834,TRUE,6.1078,TRUE,73.23501199
379,51200,819200,16,edge,0.062,TRUE,18.8619,TRUE,304.2241935
380,51200,1638400,32,dij,0.0748,TRUE,4.8071,TRUE,64.26604278
381,51200,1638400,32,spfa,0.1699,TRUE,8.5055,TRUE,50.06180106
382,51200,1638400,32,delta,0.0581,TRUE,9.2566,TRUE,159.3218589
383,51200,1638400,32,edge,0.0831,TRUE,37.8088,TRUE,454.9795427
384,51200,3276800,64,dij,0.1162,TRUE,7.653,TRUE,65.8605852
385,51200,3276800,64,spfa,0.2562,TRUE,13.5327,TRUE,52.82084309
386,51200,3276800,64,delta,0.0847,TRUE,15.8003,TRUE,186.5442739
387,51200,3276800,64,edge,0.1736,TRUE,63.9106,TRUE,368.1486175
388,51200,6553600,128,dij,0.2043,TRUE,12.9838,TRUE,63.5526187
389,51200,6553600,128,spfa,0.4124,TRUE,23.9629,TRUE,58.10596508
390,51200,6553600,128,delta,0.2529,TRUE,20.1923,TRUE,79.84302096
391,51200,6553600,128,edge,0.2187,TRUE,103.9473,TRUE,475.2962963
392,51200,13107200,256,dij,0.4341,TRUE,23.3803,TRUE,53.85924902
393,51200,13107200,256,spfa,0.6127,TRUE,37.8594,TRUE,61.79108862
394,51200,13107200,256,delta,0.2049,TRUE,33.9382,TRUE,165.6329917
395,51200,13107200,256,edge,0.2971,TRUE,180.5119,TRUE,607.5796028
396,51200,26214400,512,dij,0.5647,TRUE,44.2024,TRUE,78.27589871
397,51200,26214400,512,spfa,1.0003,TRUE,64.1262,TRUE,64.10696791
398,51200,26214400,512,delta,0.3383,TRUE,68.7627,TRUE,203.259533
399,51200,26214400,512,edge,0.6093,TRUE,274.7005,TRUE,450.8460528
